epochs,max_points,lr,early_stopping,accuracy
20,1000,0.1,1.0,21.226037979125977
20,1000,0.1,2.0,27.116613388061523
20,1000,0.1,5.0,31.97883415222168
20,1000,0.1,,36.57148742675781
20,1000,0.01,1.0,30.86062240600586
20,1000,0.01,2.0,30.261581420898438
20,1000,0.01,5.0,31.48961639404297
20,1000,0.01,,31.48961639404297
20,5000,0.1,1.0,31.15015983581543
20,5000,0.1,2.0,31.070287704467773
20,5000,0.1,5.0,43.95966339111328
20,5000,0.1,,47.32427978515625
20,5000,0.01,1.0,35.15375518798828
20,5000,0.01,2.0,37.98921585083008
20,5000,0.01,5.0,40.79472732543945
20,5000,0.01,,39.56669235229492
20,10000,0.1,1.0,38.08905792236328
20,10000,0.1,2.0,43.75998306274414
20,10000,0.1,5.0,47.823482513427734
20,10000,0.1,,50.2795524597168
20,10000,0.01,1.0,43.58027267456055
20,10000,0.01,2.0,43.55031967163086
20,10000,0.01,5.0,46.954872131347656
20,10000,0.01,,46.994808197021484
30,1000,0.1,1.0,26.058307647705078
30,1000,0.1,2.0,22.593849182128906
30,1000,0.1,5.0,27.366214752197266
30,1000,0.1,,36.27196502685547
30,1000,0.01,1.0,26.018369674682617
30,1000,0.01,2.0,30.970447540283203
30,1000,0.01,5.0,31.070287704467773
30,1000,0.01,,25.49920082092285
30,5000,0.1,1.0,25.818689346313477
30,5000,0.1,2.0,32.218448638916016
30,5000,0.1,5.0,42.34225082397461
30,5000,0.1,,47.09465026855469
30,5000,0.01,1.0,35.17372131347656
30,5000,0.01,2.0,36.102237701416016
30,5000,0.01,5.0,41.333866119384766
30,5000,0.01,,46.156150817871094
30,10000,0.1,1.0,38.14896011352539
30,10000,0.1,2.0,36.00239562988281
30,10000,0.1,5.0,46.71525573730469
30,10000,0.1,,51.02835464477539
30,10000,0.01,1.0,40.98442459106445
30,10000,0.01,2.0,47.5339469909668
30,10000,0.01,5.0,48.712059020996094
30,10000,0.01,,48.602237701416016
40,1000,0.1,1.0,24.820287704467773
40,1000,0.1,2.0,23.162939071655273
40,1000,0.1,5.0,29.602636337280273
40,1000,0.1,,36.6912956237793
40,1000,0.01,1.0,30.041933059692383
40,1000,0.01,2.0,32.9073486328125
40,1000,0.01,5.0,31.3897762298584
40,1000,0.01,,33.50638961791992
40,5000,0.1,1.0,34.15534973144531
40,5000,0.1,2.0,36.162139892578125
40,5000,0.1,5.0,43.26078414916992
40,5000,0.1,,48.073081970214844
40,5000,0.01,1.0,31.359825134277344
40,5000,0.01,2.0,40.60503005981445
40,5000,0.01,5.0,40.944488525390625
40,5000,0.01,,45.38737869262695
40,10000,0.1,1.0,44.19927978515625
40,10000,0.1,2.0,43.39057540893555
40,10000,0.1,5.0,46.984825134277344
40,10000,0.1,,51.008384704589844
40,10000,0.01,1.0,41.763179779052734
40,10000,0.01,2.0,44.4089469909668
40,10000,0.01,5.0,48.29273223876953
40,10000,0.01,,49.42092514038086
