,epochs,max_points,lr,early_stopping,accuracy
0,20,1000,0.1,1.0,83.2268
1,20,1000,0.1,2.0,80.7208
2,20,1000,0.1,5.0,87.0907
3,20,1000,0.1,,89.347
4,20,1000,0.01,1.0,71.3658
5,20,1000,0.01,2.0,83.0471
6,20,1000,0.01,5.0,85.2236
7,20,1000,0.01,,85.8926
8,20,5000,0.1,1.0,87.9493
9,20,5000,0.1,2.0,94.3391
10,20,5000,0.1,5.0,94.8183
11,20,5000,0.1,,95.2476
12,20,5000,0.01,1.0,70.8666
13,20,5000,0.01,2.0,89.7464
14,20,5000,0.01,5.0,92.472
15,20,5000,0.01,,92.7716
16,20,10000,0.1,1.0,87.1506
17,20,10000,0.1,2.0,94.988
18,20,10000,0.1,5.0,95.5571
19,20,10000,0.1,,96.236
20,20,10000,0.01,1.0,88.8179
21,20,10000,0.01,2.0,95.0779
22,20,10000,0.01,5.0,95.9764
23,20,10000,0.01,,94.5587
24,30,1000,0.1,1.0,88.6881
25,30,1000,0.1,2.0,89.0974
26,30,1000,0.1,5.0,90.2057
27,30,1000,0.1,,88.6681
28,30,1000,0.01,1.0,57.6877
29,30,1000,0.01,2.0,78.754
30,30,1000,0.01,5.0,86.1821
31,30,1000,0.01,,84.1653
32,30,5000,0.1,1.0,94.4289
33,30,5000,0.1,2.0,93.73
34,30,5000,0.1,5.0,73.0232
35,30,5000,0.1,,95.1378
36,30,5000,0.01,1.0,87.8794
37,30,5000,0.01,2.0,88.5483
38,30,5000,0.01,5.0,92.0827
39,30,5000,0.01,,88.9876
40,30,10000,0.1,1.0,92.8914
41,30,10000,0.1,2.0,95.0679
42,30,10000,0.1,5.0,93.7899
43,30,10000,0.1,,95.9665
44,30,10000,0.01,1.0,89.5867
45,30,10000,0.01,2.0,93.7101
46,30,10000,0.01,5.0,95.3574
47,30,10000,0.01,,95.1677
48,40,1000,0.1,1.0,72.2045
49,40,1000,0.1,2.0,87.7895
50,40,1000,0.1,5.0,88.8379
51,40,1000,0.1,,89.4569
52,40,1000,0.01,1.0,78.0751
53,40,1000,0.01,2.0,86.4716
54,40,1000,0.01,5.0,85.4233
55,40,1000,0.01,,83.117
56,40,5000,0.1,1.0,86.0623
57,40,5000,0.1,2.0,93.8199
58,40,5000,0.1,5.0,94.7284
59,40,5000,0.1,,94.4888
60,40,5000,0.01,1.0,86.7712
61,40,5000,0.01,2.0,85.6829
62,40,5000,0.01,5.0,94.2292
63,40,5000,0.01,,93.4405
64,40,10000,0.1,1.0,94.4988
65,40,10000,0.1,2.0,93.78
66,40,10000,0.1,5.0,95.5371
67,40,10000,0.1,,96.276
68,40,10000,0.01,1.0,93.8498
69,40,10000,0.01,2.0,95.2676
70,40,10000,0.01,5.0,95.8067
71,40,10000,0.01,,95.9365
