optimizer,lr_scheduling,epochs,max_points,lr,early_stopping,accuracy
SGD,True,20,20000,0.01,2,96.13618469238281
SGD,False,20,20000,0.01,2,95.10782623291016
Adam,True,20,20000,0.01,2,95.2276382446289
Adam,False,20,20000,0.01,2,95.5571060180664
SGD,True,20,20000,0.01,5,96.1261978149414
SGD,False,20,20000,0.01,5,96.8650131225586
Adam,True,20,20000,0.01,5,95.29752349853516
Adam,False,20,20000,0.01,5,96.28594207763672
SGD,True,20,30000,0.01,2,96.8650131225586
SGD,False,20,30000,0.01,2,95.7468032836914
Adam,True,20,30000,0.01,2,96.63538360595703
Adam,False,20,30000,0.01,2,95.2575912475586
SGD,True,20,30000,0.01,5,96.27595520019531
SGD,False,20,30000,0.01,5,96.24600982666016
Adam,True,20,30000,0.01,5,94.97803497314453
Adam,False,20,30000,0.01,5,96.20606994628906
SGD,True,20,40000,0.01,2,96.685302734375
SGD,False,20,40000,0.01,2,97.16453552246094
Adam,True,20,40000,0.01,2,95.5970458984375
Adam,False,20,40000,0.01,2,94.99800109863281
SGD,True,20,40000,0.01,5,97.20447540283203
SGD,False,20,40000,0.01,5,97.49401092529297
Adam,True,20,40000,0.01,5,95.71685028076172
Adam,False,20,40000,0.01,5,96.1661376953125
SGD,True,20,50000,0.01,2,97.47404479980469
SGD,False,20,50000,0.01,2,97.42411804199219
Adam,True,20,50000,0.01,2,96.03633880615234
Adam,False,20,50000,0.01,2,96.01637268066406
SGD,True,20,50000,0.01,5,97.37419891357422
SGD,False,20,50000,0.01,5,97.69368743896484
Adam,True,20,50000,0.01,5,95.2176513671875
Adam,False,20,50000,0.01,5,95.48722076416016
SGD,True,30,20000,0.01,2,96.685302734375
SGD,False,30,20000,0.01,2,96.8849868774414
Adam,True,30,20000,0.01,2,95.14776611328125
Adam,False,30,20000,0.01,2,95.87659454345703
SGD,True,30,20000,0.01,5,96.8650131225586
SGD,False,30,20000,0.01,5,96.97483825683594
Adam,True,30,20000,0.01,5,95.11781311035156
Adam,False,30,20000,0.01,5,94.71845245361328
SGD,True,30,30000,0.01,2,97.0247573852539
SGD,False,30,30000,0.01,2,97.14456939697266
Adam,True,30,30000,0.01,2,95.92652130126953
Adam,False,30,30000,0.01,2,95.75679016113281
SGD,True,30,30000,0.01,5,96.6753158569336
SGD,False,30,30000,0.01,5,96.96485900878906
Adam,True,30,30000,0.01,5,95.87659454345703
Adam,False,30,30000,0.01,5,95.45726776123047
SGD,True,30,40000,0.01,2,97.20447540283203
SGD,False,30,40000,0.01,2,96.63538360595703
Adam,True,30,40000,0.01,2,95.50718688964844
Adam,False,30,40000,0.01,2,96.36581420898438
SGD,True,30,40000,0.01,5,97.04473114013672
SGD,False,30,40000,0.01,5,97.20447540283203
Adam,True,30,40000,0.01,5,95.53713989257812
Adam,False,30,40000,0.01,5,96.02635955810547
SGD,True,30,50000,0.01,2,96.82508087158203
SGD,False,30,50000,0.01,2,96.51557159423828
Adam,True,30,50000,0.01,2,95.7767562866211
Adam,False,30,50000,0.01,2,95.72683715820312
SGD,True,30,50000,0.01,5,97.7735595703125
SGD,False,30,50000,0.01,5,97.444091796875
Adam,True,30,50000,0.01,5,96.32588195800781
Adam,False,30,50000,0.01,5,95.7867431640625
SGD,True,40,20000,0.01,2,96.8650131225586
SGD,False,40,20000,0.01,2,95.9664535522461
Adam,True,40,20000,0.01,2,95.10782623291016
Adam,False,40,20000,0.01,2,94.20926666259766
SGD,True,40,20000,0.01,5,97.16453552246094
SGD,False,40,20000,0.01,5,96.77516174316406
Adam,True,40,20000,0.01,5,95.30751037597656
Adam,False,40,20000,0.01,5,95.05790710449219
SGD,True,40,30000,0.01,2,97.27436065673828
SGD,False,40,30000,0.01,2,97.09465026855469
Adam,True,40,30000,0.01,2,96.08626556396484
Adam,False,40,30000,0.01,2,95.54712677001953
SGD,True,40,30000,0.01,5,97.36421966552734
SGD,False,40,30000,0.01,5,97.09465026855469
Adam,True,40,30000,0.01,5,96.06629180908203
Adam,False,40,30000,0.01,5,95.44728088378906
SGD,True,40,40000,0.01,2,97.31430053710938
SGD,False,40,40000,0.01,2,97.35423278808594
Adam,True,40,40000,0.01,2,96.29592895507812
Adam,False,40,40000,0.01,2,95.2176513671875
SGD,True,40,40000,0.01,5,97.11461639404297
SGD,False,40,40000,0.01,5,97.5938491821289
Adam,True,40,40000,0.01,5,96.04632568359375
Adam,False,40,40000,0.01,5,95.52715301513672
SGD,True,40,50000,0.01,2,96.93490600585938
SGD,False,40,50000,0.01,2,96.58546447753906
Adam,True,40,50000,0.01,2,96.3458480834961
Adam,False,40,50000,0.01,2,95.9365005493164
SGD,True,40,50000,0.01,5,97.67372131347656
SGD,False,40,50000,0.01,5,97.45407104492188
Adam,True,40,50000,0.01,5,96.23602294921875
Adam,False,40,50000,0.01,5,95.35742950439453
