method,epochs,max_points,metric
SGD,20,5000,92.16253662109375
SGD LRS,20,5000,82.99720764160156
Adam,20,5000,66.36381530761719
hybrid last gd,20,5000,94.20926666259766
hybrid,20,5000,89.3370590209961
SGD,20,10000,93.11102294921875
SGD LRS,20,10000,94.12939453125
Adam,20,10000,82.95726776123047
hybrid last gd,20,10000,96.24600982666016
hybrid,20,10000,94.94808197021484
SGD,20,15000,96.48562622070312
SGD LRS,20,15000,96.305908203125
Adam,20,15000,91.41373443603516
hybrid last gd,20,15000,96.47563934326172
hybrid,20,15000,95.9764404296875
SGD,20,20000,96.63538360595703
SGD LRS,20,20000,96.38578033447266
Adam,20,20000,91.3438491821289
hybrid last gd,20,20000,96.78514099121094
hybrid,20,20000,90.055908203125
SGD,20,25000,96.29592895507812
SGD LRS,20,25000,96.3458480834961
Adam,20,25000,89.3370590209961
hybrid last gd,20,25000,96.93490600585938
hybrid,20,25000,96.9149398803711
SGD,20,30000,95.61701202392578
SGD LRS,20,30000,96.61541748046875
Adam,20,30000,55.730831146240234
hybrid last gd,20,30000,97.064697265625
hybrid,20,30000,97.12460327148438
SGD,20,35000,97.35423278808594
SGD LRS,20,35000,97.12460327148438
Adam,20,35000,70.32747650146484
hybrid last gd,20,35000,97.0746841430664
hybrid,20,35000,96.77516174316406
SGD,20,40000,97.25439453125
SGD LRS,20,40000,97.01477813720703
Adam,20,40000,86.06230163574219
hybrid last gd,20,40000,96.99481201171875
hybrid,20,40000,97.0247573852539
SGD,20,45000,97.30431365966797
SGD LRS,20,45000,97.52396392822266
Adam,20,45000,87.94927978515625
hybrid last gd,20,45000,97.444091796875
hybrid,20,45000,97.29432678222656
SGD,20,50000,97.26437377929688
SGD LRS,20,50000,97.2144546508789
Adam,20,50000,79.64257049560547
hybrid last gd,20,50000,97.57388305664062
hybrid,20,50000,97.33426666259766
SGD,20,55000,96.81509399414062
SGD LRS,20,55000,97.31430053710938
Adam,20,55000,11.331869125366211
hybrid last gd,20,55000,97.27436065673828
hybrid,20,55000,97.30431365966797
SGD,20,60000,97.71366119384766
SGD LRS,20,60000,97.6337890625
Adam,20,60000,72.75359344482422
hybrid last gd,20,60000,97.72364044189453
hybrid,20,60000,97.64376831054688
